company_id;name;sector;sessions
C_abovecreation;Above Creation;Business Software & Services;01/2022
C_abrarcomanalytics;AbrarCom Analytics;Non renseigné;01/2020
C_abrid;ABRID;Advanced Manufacturing & Robotics;12/2024
C_abroadstudent;a'BroadStudent;EdTech;03/2024
C_absherai;Absher AI;Business Software and services;"04/2026; 10/2025"
C_academiahub;Academia Hub;Business Software and services;06/2025
C_academieacam;Académie ACAM;Wellness;12/2024
C_academieartisanalarzaak;Académie artisanal Arzaak;Social Business;07/2023
C_acalainer;Acalainer;EdTech;05/2023
C_accent;Accent;Non renseigné;02/2020
C_accessaligner;Access Aligner;Health Tech;07/2020
C_aces;ACES;E-commerce;07/2020
C_achrefbejaoui;Achref Bejaoui;Advanced Manufacturing & Robotics;12/2022
C_acrididea;ACRIDIDEA;FoodTech & New Food;"04/2024; 05/2024"
C_actifsprecieuxapexsa;Actifs Précieux Apex S.A;Biotechnologie;05/2019
C_activxtract;ActivXtract;Agritech;01/2022
C_adamdigitalcard;ADAM DIGITAL CARD;Communication services;05/2024
C_addel;ADDEL;Social Business;12/2023
C_addinntunisie;AddInn Tunisie;Non renseigné;01/2020
C_addresti;Addresti;Mobile;08/2020
C_addvalsoluons;Addval Soluons;Business Soware and services;02/2023
C_addvocateai;Addvocate AI;Business Software and services;"03/2025; 07/2024"
C_adeekt;Adeekt;Creative industry;05/2022
C_adiom;ADIOM;Agritech;06/2020
C_admall;Ad. Mall;Commerce and shopping;12/2023
C_advancedfunctionalitiesforsmarthomecompanywifi;Advanced functionalities for smart home/company WiFi;Telecom;07/2019
C_advancedfunctionalitiesforsmarthomekwiklinktechnol;Advanced Functionalities For Smart Home - Kwiklink Technologies;Non renseigné;12/2019
C_advantryx;Advantry X;Advanced Manufacturing & Robocs;02/2023
C_advertising;AD Vertising;Ad Tech and Creative Tech;11/2025
C_aeroccf;AERO CCF;Social Business;07/2022
C_aes;AES;Service;07/2019
C_aevny;Aevny;E-Commerce;06/2019
C_afartunisie;Afar tunisie;Commerce and shopping;02/2023
C_affipro;affipro;Marketing;02/2021
C_afiatech;AfiaTech;"Health Tech; Non renseigné";"08/2020; 12/2019"
C_africaflyingandengineering;Africa Flying and Engineering;AgriTech;04/2019
C_africanahelpexport;Africana Help Export;Services de communication;03/2021
C_afriquecharbon;Afrique Charbon;Energie;04/2019
C_afriquevapeur;Afrique vapeur;Consumer products and services;12/2023
C_agaruwhub;AGARUW HUB;Environment;"03/2024; 09/2024"
C_agazone;Agazone;Agritech;"01/2022; 11/2023"
C_aghsalni;AGHSALNI;Environment;04/2025
C_agricotech;AgricoTech;Agritech;11/2024
C_agriland;Agri Land;E-Commerce;06/2019
C_agriresilience;agri résilience;FoodTech;04/2026
C_agrismart;AgriSmart;Agritech;06/2025
C_agritable;Agritable;Marketplace / e-commerce;06/2021
C_agrogrowth;AgroGrowth;Agritech;"01/2022; 11/2025"
C_agronix;AGRONIX;Business Software and services;05/2024
C_agrovalplus;AGROVAL PLUS;EdTech;01/2023
C_aguadesoltunisie;AGUA DE SOL TUNISIE;Environment;07/2023
C_ahkili;Ahkili;Non renseigné;04/2020
C_ahlabik;AhlaBik;Commerce and shopping;11/2023
C_ahmini;Ahmini;Non renseigné;12/2019
C_ahyinideveloppeparlasocietecbmeenomcommercialcbmee;"""Ahyini""/ développé par la société CBM-EE (nom commercial : cbm eearning)";Environment;11/2021
C_aibc;AIBC;Business Software and services;03/2024
C_aicvlab;Ai Cv Lab;Ad Tech and Creative Tech;03/2023
C_aidiacademieinternationalepourledeveloppementetlin;AIDI : Académie Internationale pour le développement et l'innovation;Non renseigné;04/2020
C_aidloy;Aidloy;Wellness;12/2025
C_aifog;AIFOG;Services de communication;12/2021
C_aigentlab;AIGENTLAB;Ad Tech and Creative Tech;08/2024
C_ailinepro;Ailine Pro;Business Software and services;10/2024
C_aioevents;AIO EVENTS;Business Software and services;"09/2023; 10/2024"
C_aiontime;AionTime;Ad Tech and Creative Tech;12/2025
C_aipenetraguard;AIPenetraGuard;Security;01/2024
C_airec;AI REC;Fintech;01/2022
C_airgraph;AirGraph;Robotique;12/2020
C_aivataria;aivataria;"Ad Tech and Creative Tech; Creative industry";"09/2022; 10/2021"
C_aivia;AIVIA;"HEM HealthTech; HealthTech";"10/2025; 11/2025"
C_aiwithyou;AI WITH YOU;Wellness;04/2023
C_akarattn;akarat.tn;"Commerce and shopping; Non renseigné";"04/2020; 09/2025"
C_aladdin;Aladdin;Telecom;09/2020
C_albayen;AL BAYEN;Advanced Manufacturing & Robotics;01/2026
C_albupadna;ALBUPAD-NA;HealthTech;01/2026
C_alcura;ALCURA;HealthTech;05/2026
C_aldergreensolutions;ALDER Green Solutions;Environment;09/2024
C_alexeerdynamics;ALEXEER Dynamics;Business Software;06/2021
C_alexis;Alexis;EdTech;08/2024
C_alfaprint;ALFA PRINT;Non renseigné;12/2019
C_alfikr;Alfikr;EdTech;11/2020
C_algaepool;ALGAEPOOL;Agritech;12/2021
C_algoragroup;Algora Group;Communication services;04/2025
C_algoriafactory;ALGORIA FACTORY;services Business Software and services;02/2026
C_algoryhthme;algoRyhthme;Agritech;05/2023
C_alhazenai;Alhazen AI;Logistics;04/2026
C_alidade;ALIDADE;Business Software and services;01/2024
C_alidhafa;AL idhafa;Other;05/2026
C_alifa;Alifa;Social Business;04/2023
C_alifaforanimalwellbeing;ALIFA FOR ANIMAL WELL BEING;Social Business;05/2023
C_allcarta;allcarta;EdTech;12/2021
C_allofermli;AlloFermli;Healthtech;08/2023
C_allokhadmet;All o khadmet;Non renseigné;03/2020
C_alloreparateur;Allô Réparateur;Non renseigné;02/2020
C_alltounsi;All Tounsi;Marketplace;04/2022
C_almadina;Al madina;Non renseigné;10/2019
C_almourabielearning;almourabi e-learning;EdTech;05/2021
C_almourafek;ALMOURAFEK;"E-commerce; Non renseigné";"07/2020; 12/2019"
C_alphadeepsolutions;AlphaDeep Solutions;Business Software and services;10/2024
C_alphamall;Alpha Mall;Marketplace;04/2021
C_alraziai;AL RAZI AI;HealthTech;04/2026
C_alshamelasports;Al Shamela Sports;Business Software and services;02/2025
C_altabib;ALTABIB;HealthTech;"04/2024; 10/2024"
C_altadigit;AltaDigit;Business Software and services;03/2024
C_altdoc;Alt Doc;HealthTech;05/2024
C_amalxr;AMAL XR;HealthTech;11/2022
C_amazigh;Amazigh;E-commerce;02/2021
C_ambitionstudy;Ambition Study;Consumer Products and Services;09/2023
C_amigo;AMIGO;Mobility;10/2022
C_amilcartechnologies;Amilcar Technologies;Ad Tech and Creative Tech;02/2025
C_amiral;Amiral;"IoT; Non renseigné";"05/2020; 07/2020"
C_amis;A.M.I.S.;HealthTech;"02/2023; 08/2022"
C_amisresearch;A.M.I.S. RESEARCH;HealthTech;06/2023
C_amonak;Amonak;E-commerce;07/2020
C_amperontechnologies;Amperon Technologies;Advanced Manufacturing & Robotics;01/2025
C_analysenumeriquedesdonnesamci;Analyse numérique des donnes (AMCI);Non renseigné;03/2020
C_analytix;Analytix;Fintech;"04/2021; 08/2020"
C_analytixys;Analytix YS;Fintech;09/2021
C_anavid;Anavid;Non renseigné;11/2019
C_ancabox;ANCA BOX;HealthTech;12/2023
C_angelprotectoramzismartsolutions;Angel Protector/ AMZi Smart Solutions;AI;08/2020
C_animadop;Animadop;Plateforme Sociale;10/2020
C_annuaireservice;Annuaire Service;Consumer products and services;12/2025
C_anoycker;AnoYcker;Jassem Dahmani;10/2024
C_anquaedgeinnovation;Anqua Edge Innovation;Environment;05/2025
C_anquaedgeinnovations;Anqua Edge Innovations;Environment;05/2025
C_ansab;Ansab ب سنأ;Websites and mobile apps;05/2026
C_antibiogen;AntiBioGen;Healthtech;06/2023
C_anzar;ANZAR;Real Estate Tech;11/2022
C_aosinternational;AOS INTERNATIONAL;Cleantech;02/2021
C_apeironai;Apeiron AI;Business Software and services;05/2025
C_apishield;ApiShield;Agritech;11/2023
C_aplustradeandforwardingsolutions;A plus Trade and Forwarding Solutions;Environment;06/2025
C_app4mobbusinesssolutions;APP4MOB BUSINESS SOLUTIONS;Logiciel;07/2020
C_appinov;Appinov;Logiciel;07/2019
C_applicationmobileantigaspillagealimentairesmartdea;APPLICATION MOBILE ANTI- GASPILLAGE ALIMENTAIRE : SMARTDEAL;Business Software and services;01/2025
C_apprentustunisie;Apprentus Tunisie;EdTech;04/2019
C_approtnl6;Appro.tn (L6);Non renseigné;08/2019
C_aptyx;APTYX;Iot;06/2026
C_aqdhili;AQDHILI;Mobility;08/2022
C_aquadeep;AquaDeep;Agritech;"06/2021; 07/2021"
C_aquanergy;AquaNergy;Environment/Energie;07/2022
C_aquawisesolutions;AquaWise Solutions;Advanced Manufacturing & Robotics;10/2023
C_arabclassroom;Arabclassroom;EdTech;01/2021
C_aramclinic;Aram Clinic;HealthTech;12/2022
C_archivart;ARCHIVART;Autre contenu créatif;11/2020
C_arcube;Arcube;Fintech;01/2026
C_areasagroresponsibleecologicafricanservices;AREAS (Agro Responsible Ecologic African Services);Agritech;01/2021
C_aremainternational;AREMA international;Health care;07/2021
C_ares;Arès;EdTech;07/2023
C_arfis;Arfis;Commerce and shopping;02/2023
C_arion;Arion;Non renseigné;04/2020
C_arkan;Arkan;"Commerce and shopping; Marketplace";"11/2022; 12/2021"
C_arkhoudrone;ARKHOU-DRONE;Advanced Manufacturing & Robotics;"06/2023; 12/2023"
C_armaniarabicacademy;Armani Arabic Academy;EdTech;04/2019
C_aromrsarl;AROM R SARL;IoT;07/2019
C_aroteq;AROTEQ;Consumer Product & Services;09/2022
C_arrimaagritech;ARRIMA-AGRITECH;Agritech;03/2023
C_arsekdripbox;arsek dripbox;Agritech;"01/2024; 07/2023; 12/2021"
C_arsela;Arsela;AI;07/2019
C_artalk;Artalk;Marketplace;10/2021
C_artchad;ARTCHAD;Art;06/2026
C_artculturestudio;Art Culture Studio;Creative industry;03/2021
C_artforness;ArtForNess;Marketplace;01/2022
C_artify;Artify;Non renseigné;10/2019
C_artisup;Artisup;E-commerce;07/2020
C_artizone;Artizone;Commerce and shopping;01/2025
C_artrok;ARTROK;Commerce and shopping;10/2025
C_arty;Arty;"Creative industry; E-commerce";"01/2021; 12/2021"
C_artycollection;ARTY COLLECTION;Marketplace;08/2021
C_arzaak;Arzaak;Social Business;05/2023
C_aseptikalab;ASEPTIKA LAB;E-commerce;07/2019
C_asfora;Asfora;Business Software and services;03/2025
C_asklepios;Asklepios;Health Tech;05/2019
C_asktanit;Ask Tanit;HealthTech;04/2026
C_asone4health;AsOne4Health;HealthTech;"08/2024; 12/2022"
C_asqii;ASQII;Health care;08/2021
C_assalniai;ASSALNI-AI;Business Software and services;05/2025
C_assistantmanageriaqhse;Assistant Manager IA QHSE;Business Software and services;"07/2025; 12/2025"
C_assistit;Assist IT;Business Software and services;09/2024
C_asterkid;Asterkid;Business Software & Services;12/2022
C_astlabartscienceandtechnologylab;ASTlab (Art, Science and Technology Lab);Ad Tech and Creative Tech;03/2023
C_astratransit;Astratransit;Business Software and services;"06/2024; 09/2024"
C_astrumbiotech;ASTRUM BIOTECH;HealthTech;07/2024
C_athenaio;Athena-IO;Non renseigné;"09/2019; 11/2019"
C_athletika;Athletika;Sport;06/2026
C_atlasmobilityplatf;Atlas Mobility Platf...;Mobility;07/2022
C_atlasrobotics;ATLAS Robotics;Agritech;04/2025
C_atlassecuritytunisia;Atlas Security Tunisia;BusinessSoftware & Services;03/2022
C_atomeacademy;Atome Academy;EdTech;01/2024
C_attosettheworkosforintelligentworkmanagement;Attoset - The Work OS for Intelligent Work Management;Business Software and services;01/2026
C_audacity;AUDACITY;Non renseigné;12/2019
C_audeladubio;Au delà du Bio;Agritech;"04/2023; 11/2023"
C_aupiq;Aupiq;Business Software and services;12/2024
C_auroraiq;AuroraIQ;Business Software and services;"03/2025; 06/2025"
C_autoecoleplus;autoecoleplus;Non renseigné;02/2020
C_autoecoleplustn;Autoecoleplus.tn;Business Software;03/2021
C_autom8;Autom8;Consumer products and services;09/2023
C_automatizi;Automatizi;Consumer products and services;01/2026
C_autoplus;Auto-plus;Non renseigné;03/2020
C_autoprixtn;Autoprix.tn;E-commerce;11/2020
C_autorent;Autorent;Logiciel;09/2020
C_autorentsoftware;Autorent Software;Logiciel;02/2021
C_autosansrisque;Auto Sans Risque;Consumer products and services;05/2022
C_autoshoptnetltechnology;Autoshop.tn/ETL Technology;E-commerce;08/2020
C_autosimix;AutoSimix;Advanced Manufacturing & Robotics;02/2026
C_autoween;Autoween;CreativeTech;04/2021
C_auzy;AUZY;HealthTech & wellbeing;05/2022
C_avatarbooking;AvatarBooking;Plateforme Social;04/2021
C_avataridthinkneo;AVATAR ID /THINKNEO;Fintech;"05/2025; 06/2024"
C_avempace;Avempace;IOT;07/2019
C_avempacesarl;Avempace SARL;Haythem Boughzala Abdelhamid Kerkeni;02/2023
C_aventoura;Aventoura;TravelTech;"07/2024; 09/2024"
C_averroessoftware;Averroes Software;Business Software and services;02/2024
C_avoconsulte;Avoconsulte;"Marketplace; Services de communication";"03/2022; 10/2021"
C_avopro;AVOPRO;Logiciel;11/2020
C_axifraud;Axifraud;Business Software and services;08/2022
C_axiomdecorticageia;AXIOM décorticage IA;Business Software and services;11/2025
C_aycheek;Aycheek;Fintech;"05/2025; 06/2025"
C_ayshek;AYSHEK;E-Commerce;06/2019
C_aza;AZÄ;Non renseigné;11/2019
C_azaward;Azaward;E-commerce;06/2020
C_azedda;Azedda;Non renseigné;04/2020
C_azroevents;AZRO EVENTS;TravelTech;"08/2025; 09/2022"
C_b2btunisia;B2B Tunisia;Marketplace / e-commerce;06/2021
C_b2fine;B2fine;Commerce and shopping;05/2022
C_b4print;B4 PRINT;Non renseigné;11/2019
C_ba9chich;Ba9chich;Media;11/2020
C_baazar;Baazar;Business Software;09/2021
C_babaali;BaBa Ali;Marketplace;10/2021
C_baccoucheorthopediccenter;Baccouche Orthopedic Center;Non renseigné;01/2020
C_baddal;Baddal;"Plateforme Sociale; Social Business";"05/2022; 12/2021"
C_badel;Badel;Social Business;08/2025
C_bait;BAIT;Logiciel;12/2020
C_baitytndecorizsarl;Baity tn Decoriz SARL;Non renseigné;11/2019
C_bakomotors;BAKO MOTORS;"Cleantech; Environement";"02/2021; 08/2021"
C_bakoo;Bakoo;Social Business;06/2022
C_bakourat;Bakourat;Agritech;05/2022
C_baktrainsolutions;Baktrain Solutions;Agritech;12/2022
C_bambinosit;Bambinosit;"Consumer Product & Services; Non renseigné";"01/2023; 10/2019"
C_bananablue;BananaBlue;Plateforme Social;04/2021
C_barakeat;Barakeat;CleanTech;06/2026
C_barbecha;Barbecha;Non renseigné;03/2020
C_barshafood;Barsha Food;FoodTech & New Food;07/2023
C_bartita;Bartita;EdTech;10/2021
C_barzakh;Barzakh;EdTech;07/2024
C_basketid;BasketID;Fintech;12/2020
C_basketofart;Basket of art;Marketplace;04/2022
C_batiprice;BATIPRICE;"Business Software and services; Real Estate Tech";"02/2025; 06/2024"
C_batistudiotn;BATISTUDIO.TN;Consumer products and services;03/2025
C_battellab;Battel Lab;HealthTech;09/2024
C_bayyoulabs;BAYYOU LABS;Other;05/2026
C_bcar;B-CAR;Mobility;03/2026
C_beanback;BeanBack;Biotech;06/2026
C_beauteprivee;Beauté privée;E-commerce;04/2026
C_beautyaddict;Beauty Addict;Wellness;05/2021
C_bebeverages;BE beverages;FoodTech & New Food;04/2023
C_bebouncy;Be bouncy;"Marketing; Non renseigné";"05/2019; 10/2019"
C_beeeyestunisia;Bee Eyes Tunisia;Services de communication;04/2021
C_beego;Beego;"Mobile; Non renseigné";"05/2019; 12/2019"
C_beemo;BeEmo;EdTech;"06/2025; 12/2024"
C_beenomi;Beenomi;Real Estate Tech;05/2022
C_beespring;BEE SPRING;Wellness;02/2023
C_beeton;beeton;Services de communication;05/2021
C_beitary;Beitary;HealthTech;04/2023
C_beneutron;BeNeutron;Non renseigné;09/2019
C_bepeephealth;Bepeep Health;Insurance Tech;02/2021
C_besiyessah;BE-SIYESSAH;Ad Tech and Creative Tech;11/2023
C_besmart;Be-Smart;Ad Tech and Creative Tech;07/2024
C_besmarttravel;Be Smart Travel;TravelTech;04/2021
C_bestrade;Bestrade;Business Software and services;"03/2025; 06/2025"
C_besttech;Best-Tech;Non renseigné;09/2019
C_bestway;Best Way;Marketing;04/2019
C_besynchro;Be Synchro;Ad Tech & Creative Tech;08/2023
C_bethebossacademy;BE THE BOSS ACADEMY;AdTech;06/2026
C_bettermood;Better Mood;Health Tech;07/2020
C_bewirelesssolutions;Be Wireless Solutions;IOT;03/2019
C_bfp;BFP;Environment;05/2023
C_bi2m;Bi2M;Ad Tech and Creative Tech;03/2025
C_bibin;BiBin;EdTech;04/2023
C_bibinet;Bibinet;Consumer products and services;"01/2025; 11/2025"
C_biboochildrensplanet;BiBoo Children's planet;Social Business;02/2024
C_bidshine;Bid Shine;Business Software and services;10/2025
C_biessaauto;BIESSA AUTO;Marketplace;"10/2021; 11/2021"
C_bigdatis;BIGDATIS;Real Estate Tech;"06/2022; 12/2022"
C_bimpack;Bimpack;Business Software and services;07/2024
C_bimstrategy;BIM STRATEGY;Real Estate Tech;11/2023
C_binergy;Bi'nergy;Environment;04/2023
C_binydik;BinYdik;Business Software and services;01/2025
C_bioagrilhelpersbah;BioAgrilhelpers (BAH);Agritech;07/2020
C_biocarehealth;Biocare Health;Healthcare & Wellness;11/2021
C_bioexpert;BioExpert;HealthTech;"11/2025; 12/2025"
C_biogreenpousses;Bio Green Pousses;FoodTech & New Food;09/2024
C_bioh2o;BioH2O;FoodTech & New Food;08/2025
C_biointrantstechnologie;BioIntrants Technologie;E-Commerce;06/2019
C_biomidex;BIOMIDEX;HealthTech;05/2025
C_bionessance;BIONESSANCE;Healthcare & Wellness;11/2021
C_bionics;Bionics;Health care;03/2021
C_bionicsoul;Bionic Soul;Healthtech;06/2023
C_biopot;Biopot;Biotech;05/2026
C_biotopesmartecolo;BIOTOPE / SmartEcolo;Environment;10/2022
C_bipertherapeutics;BiPER Therapeutics;HealthTech;"05/2025; 10/2025"
C_bipevents;BipEvents;Non renseigné;04/2020
C_birdhouce;Birdhouce;Creative industry;01/2022
C_birousuite;Birou Suite;Business Software;"04/2021; 08/2021"
C_biscuify;Biscuify;Commerce and shopping;08/2024
C_bitaqatn;Bitaqa.tn;Business Software and services;09/2022
C_bjomla;Bjomla;Commerce and shopping;06/2022
C_bkmccorp;BKMC corp;Autre contenu créatif;03/2021
C_blackdunestudio;Black Dune Studio;Non renseigné;09/2019
C_bladizkingchemicalssolutions;Bladiz king Chemicals Solutions;Marketing;09/2020
C_blendpixelstudio;Blend Pixel Studio;Consumer products and services;11/2024
C_blockplusplus;Block plus plus;Fintech;07/2023
C_bloomvenom;Bloom Venom;HealthTech;10/2025
C_blueboxlabs;BlueBox Labs;Agritech;05/2026
C_bluepsol;BLUEPSOL;Environment;02/2023
C_bmepower;BME-Power;Ad Tech and Creative Tech;04/2023
C_bmoov;bmoov;Mobility;10/2021
C_bmstechnology;BMS TECHNOLOGY;FoodTech & New Food;07/2022
C_bnjmo;BNJMO;Business Software and services;01/2024
C_bnjmostudios;BNJMO Studios;Ad Tech and Creative Tech;01/2026
C_boky;Boky;TravelTech;01/2023
C_boltpickup;Bolt Pick-Up;Mobility;02/2024
C_bonheure;Bon'Heure;"HR; Non renseigné";"05/2019; 10/2019"
C_bookingtodo;Bookingtodo;"Autre contenu créatif; Non renseigné";"05/2019; 12/2019"
C_bookjourney;بﺎﺗﻛ ﺔﻠﺣر _Book Journey;EdTech;02/2021
C_booklyne;Booklyne;Business Software and services;08/2025
C_booknow;BOOK NOW;TravelTech;06/2024
C_bookpickups;Book Pickups;TravelTech;06/2023
C_booky;booky;EdTech;02/2023
C_boomsnap;Boomsnap;Ad Tech and Creative Tech;09/2024
C_boon;Boon;Real Estate Tech;09/2025
C_boostenotunisie;BOOSTENO TUNISIE;Services de communication;08/2021
C_boostiny;Boostiny;Marketing;04/2019
C_boostyalmoshtari;Boosty/Almoshtari;Social Business;08/2022
C_bornteq;BORNTEQ;Business Software;07/2021
C_bouita;Bouita;Non renseigné;12/2019
C_bouklewastemanagement;Boukle Waste Management;Environment;07/2024
C_bouquinistetn;Bouquiniste.tn;E-commerce;07/2020
C_boxi;BOXI;Creative industry;05/2022
C_boxstage;BOXSTAGE;"Ad Tech and Creative Tech; Creative industry";"08/2022; 11/2021"
C_boxstop;BOXSTOP;Logistique;01/2021
C_bqube;bqube;Business Software & Services;04/2022
C_brain;B'rain;Health Tech;05/2019
C_braintek;BRAIN-TEK;Business Software and services;11/2023
C_brandee;Brandee;Business Software & Services;10/2022
C_brandyuapplicationmobile;BRANDYU (application mobile).;Communication services;12/2023
C_branper;branper;"Big Data; Fintech";"04/2021; 06/2020"
C_bridella;Bridella;Commerce and shopping;03/2023
C_bridgeit;BRIDGE IT;Business Software and services;11/2023
C_bridgeitops;Bridge ITops;"Business Software & Services; Logiciel";"05/2022; 12/2020"
C_bridgessa;Bridges S.A;Insurance Tech;02/2021
C_bridgetechnology;Bridge Technology;Business Software;08/2021
C_bridgsign;BRIDGSIGN;Communication services;12/2025
C_brimind;Brimind;Other;05/2026
C_brinnovatblockhaus;brinnovat blockhaus;Advanced Manufacturing & Robotics;02/2024
C_bsmartgo;B-SMART GO;TravelTech;10/2025
C_bsmartsarl;BSmart SARL;Non renseigné;02/2020
C_bspartage;BS partage;Non renseigné;11/2019
C_btgbridgingthegap;BTG : Bridging The Gap;Ad Tech and Creative Tech;08/2023
C_budgeteuse;Budgeteuse;Fintech;05/2025
C_buildup;BuildUp;Logiciel;07/2020
C_businessacademy;Business Academy;EdTech;"06/2025; 09/2024"
C_businesschat;BusinessChat;Business Software & Services;01/2023
C_businesscomputerservices;Business Computer Services;Business Software & Services;12/2021
C_businessroom;Business Room;Business Software and services;"02/2025; 08/2025"
C_bussoftware;Bus Software;IoT;04/2019
C_buyandsave;Buy and Save;Commerce and shopping;10/2023
C_buzzbip;BuzzBip;"Ad Tech and Creative Tech; Business Software and services; Mhamed Ali Ben Mahmoud Walid Tanazefti";"08/2024; 10/2024; 11/2023"
C_bxbstudio;BxB Studio;Ad Tech and Creative Tech;"09/2025; 11/2024"
C_by4im;By4IM;Real Estate Tech;12/2024
C_byeissa;BYEISSA;"E-commerce; Marketplace";"01/2022; 02/2021"
C_byessacom;Byessa.com;"E-commerce; Marketplace";"02/2021; 10/2021"
C_byokobcosmetics;BYOKOB Cosmetics;Wellness;03/2025
C_bytalegames;Bytale Games;Ad Tech and Creative Tech;04/2023
C_cabello;Cabello;Commerce and shopping;09/2022
C_cadrini;Cadrini;EdTech;07/2024
C_caduceuscompany;Caduceus Company;Business Software and services;09/2022
C_cadusay;CADUSAY;HealthTech;10/2025
C_cagrontefid;Cagronte Fid;E-commerce;12/2020
C_cairehealthai;Caire Health AI;HealthTech;01/2024
C_cairusbusinessgroup;CAIRUS BUSINESS GROUP;Fintech;03/2022
C_cairusdigitalbusinesscenter;CAIRUS DIGITAL BUSINESS CENTER;Fintech;09/2021
C_camgoal;CamGoal;Ad Tech and Creative Tech;06/2023
C_caminova;Caminova;HealthTech;"02/2023; 08/2022"
C_campusna;CAMPUSNA;EdTech;05/2021
C_campusnumeriquedesmetiers;Campus Numérique des métiers;"Ad Tech and Creative Tech; Non renseigné";"03/2020; 04/2020; 05/2023"
C_canadin;Canadin;Business Software & Services;12/2022
C_cantinou;cantinou;HealthTech;03/2026
C_caprigeneimpactinvesting;Caprigène Impact Investing;Biotechnologie;10/2020
C_capsafood;CapsaFood;Mobility;08/2022
C_capxvalue;capxvalue;Business Software;04/2021
C_carbolia;CARBOLIA;CleanTech;06/2026
C_carbon2heat;Carbon2Heat;Non renseigné;01/2020
C_carbontrack;CarbonTrack;Environment;11/2025
C_carbotracker;Carbotracker;Environment;06/2025
C_carbotraker;CarboTraker;Environment;08/2025
C_carbox;Car Box;Consumer Products & Services;06/2023
C_carcare;CarCare;Business Software and services;02/2024
C_caredify;CAREDIFY;HealthTech;11/2024
C_careup;Care-Up;Health care;12/2021
C_cargoween;CargoWeen;"Business Software & Services; Business Software and service";"06/2022; 09/2022"
C_carhabtytn;Carhabty.tn;Marketing;02/2021
C_carhubti;CarHuB-TI;Mobility;03/2021
C_carnet;CarNet;Mobility;11/2023
C_carpetplus;Carpet Plus;Non renseigné;05/2020
C_carsupervision;Car Supervision;Mobility;09/2023
C_carthachain;Carthachain;"Blockchain & cryptocurrency; Fintech";"05/2021; 06/2020"
C_carthago3d;Carthago3D;Advanced Manufacturing & Industry;05/2022
C_carthapos;CarthaPos;Business Software and services;01/2026
C_carways;CARWAYS;Commerce and shopping;06/2024
C_carwell;Carwell;Non renseigné;04/2020
C_casanova;Casanova;Consumer products and services;02/2026
C_cashfloow;CashFloow;Business Software and services;08/2025
C_cashflow;Cash Flow;Business Software and services;12/2024
C_cashyi;Cashyi;Business Software;03/2021
C_casualbet;Casual Bet;Gaming;04/2019
C_catchy;Catchy;Communication services;01/2024
C_catrim;Catrim;Fintech;07/2019
C_cavatn;Cava.tn;Commerce and shopping;12/2022
C_cbot;CBOT;Services de communication;04/2021
C_cccolombuscapitaltheinfinitetrust;CC - Colombus Capital, The Infinite Trust;Fintech;03/2024
C_celebrioo;Celebrioo;Autre contenu créatif;11/2020
C_cellpulse;cell pulse;HealthTech;"04/2023; 08/2022"
C_cellpulseharmony;Cell Pulse Harmony;HealthTech;09/2023
C_cercinaai;cercina.ai;Ad Tech and Creave Tech;02/2023
C_cercinaartificialintelligence;Cercina Artificial Intelligence;Ad Tech & Creative Tech;05/2023
C_cerftn;Cerf.tn;Ad Tech and Creave Tech;02/2023
C_cgbox;CG-Box;"Business Software & Services; Business Soware and services";"02/2023; 04/2022"
