company_id;company_name;sector;session
C0078;Neopolis Development;Insurance Tech;05/2019
C0079;9arini.tn (édité par Digital World SARL);EdTech;05/2019
C0080;Fouta Tunisia;E-Commerce;05/2019
C0081;Swiver;FinTech;05/2019
C0082;profils.tn;HR;05/2019
C0083;Go Up Stand Up (Goupsup);Mobile;05/2019
C0084;TransFacile;Logistique;05/2019
C0085;Asklepios;Health Tech;05/2019
C0086;Bookingtodo;Autre contenu créatif;05/2019
C0087;Industry X.0;Logiciel;05/2019
C0088;Bon'Heure;HR;05/2019
C0089;Be bouncy;Marketing;05/2019
C0090;Domotec;IOT;05/2019
C0091;Vim It;Logiciel;05/2019
C0092;Indigo Business Solutions;Logiciel;05/2019
C0093;Professional System;Logiciel;05/2019
C0094;Beego;Mobile;05/2019
C0095;B'rain;Health Tech;05/2019
C0096;Développement d'applications comptables, gestion, finance;Logiciel;05/2019
C0097;DEEPERA;E-Commerce;06/2019
C0098;FABSKILL;E-Commerce;06/2019
C0099;MajestEYE;E-Commerce;06/2019
C0100;HERUNDO;E-Commerce;06/2019
C0101;BioIntrants Technologie;E-Commerce;06/2019
C0102;JUNIOR NETWORK;E-Commerce;06/2019
C0103;Siteflow Factory;E-Commerce;06/2019
C0104;Insight+;E-Commerce;06/2019
C0105;DATAERA;E-Commerce;06/2019
C0106;SF Technologies;E-Commerce;06/2019
C0107;CREATIVE CULINARY;E-commerce;06/2019
C0108;SAFOZI SARL;Infrastructure;06/2019
C0109;NEXTPROTEIN TUNISIA;E-Commerce;06/2019
C0110;SENIATNA;Logistique;06/2019
C0111;VME Internationale;E-Commerce;06/2019
C0112;Zoor;E-Commerce;06/2019
C0113;Natalista;Plateforme sociale;06/2019
C0114;Videsys;E-Commerce;06/2019
C0115;AYSHEK;E-Commerce;06/2019
C0116;Kidsbook;E-Commerce;06/2019
C0117;Hezni Maak;Plateforme sociale;06/2019
C0118;Pool & Fish Farm Smart Water Management;E-Commerce;06/2019
C0119;Massart Engineering;E-Commerce;06/2019
C0120;MyCity;Marketing;06/2019
C0121;Tisopia;E-Commerce;06/2019
C0122;TUNMOB SA (DIGIT-U);Insurance tech;06/2019
C0123;SMAAO Tunisie;Insurance tech;06/2019
C0124;Iris technologies;E-Commerce;06/2019
C0125;Agri Land;E-Commerce;06/2019
C0126;Doctor Sina;Health tech;06/2019
C0127;Aevny;E-Commerce;06/2019
C0128;IYADATI;Health tech;06/2019
C0129;TransIN / SmartIN;Insurance Tech;07/2019
C0130;Catrim;Fintech;07/2019
C0131;eDonec;Edtech;07/2019
C0132;Avempace;IOT;07/2019
C0133;NIWEES;Marketing;07/2019
C0134;Arsela;AI;07/2019
C0135;Coaching Foot;E-commerce;07/2019
C0136;AROM R SARL;IoT;07/2019
C0137;Rahba.tn;Agritech;07/2019
C0138;DeVolution studio;Ed Tech;07/2019
C0139;ASEPTIKA LAB;E-commerce;07/2019
C0140;Faavly;Plateforme sociale;07/2019
C0141;Universa Blockchain;Blockchain;07/2019
C0142;Surfin - powered by Incept;Mobile;07/2019
C0143;TuniBoat;E-commerce;07/2019
C0144;Winshot;AI;07/2019
C0145;Technologia Academy;Edtech;07/2019
C0146;Minima.ai;AI;07/2019
C0147;Réseau social medical : Saheelha;Big Data;07/2019
C0148;Advanced functionalities for smart home/company WiFi;Telecom;07/2019
C0149;Zainpulse;Health Tech;07/2019
C0150;Sala7li;Edtech;07/2019
C0151;Appinov;Logiciel;07/2019
C0152;AES;Service;07/2019
C0153;STE VIF PRO;E-commerce;07/2019
C0154;Kademia;EdTech;07/2019
C0155;Glamour By Riyem;Health Tech;07/2019
C0156;Greendyzer;IoT;07/2019
C0157;VR Crystalized;Autre contenu créatif;07/2019
C0158;EVOCRAFT;Non renseigné;08/2019
C0159;Smart Farm;Agritech;08/2019
C0160;HealUp;Health tech;08/2019
C0161;MOOVOBRAIN;Non renseigné;08/2019
C0162;Dataperformers;Non renseigné;08/2019
C0163;Appro.tn (L6);Non renseigné;08/2019
C0164;FoundPad;Non renseigné;08/2019
C0165;KAPTY SARL;Non renseigné;08/2019
C0166;OTO TRAVEL;Non renseigné;08/2019
C0167;IDEAL CONCEPTION;Non renseigné;08/2019
C0168;iCompass;Non renseigné;08/2019
C0169;eDream Commerce;Non renseigné;08/2019
C0170;Vsober;Non renseigné;08/2019
C0171;Société institution des modes alternatifs de règlement des litiges;Non renseigné;08/2019
C0172;Historio;Non renseigné;08/2019
C0173;NACHD-IT;Non renseigné;08/2019
C0174;Evey Technologies;Non renseigné;08/2019
C0175;SCIENCIA;Non renseigné;08/2019
C0176;Zatex;Non renseigné;08/2019
C0177;Eat & Fit;Non renseigné;08/2019
C0178;WanToTrip;Non renseigné;08/2019
C0179;X-P-R;Non renseigné;08/2019
C0180;Plateforme de Formation E-learning;Non renseigné;08/2019
C0181;Oleomar Start-up Projet;Non renseigné;08/2019
C0182;UTIK;Non renseigné;08/2019
C0183;Smart Brand Web;Non renseigné;08/2019
C0184;MAIZ FARM;Non renseigné;08/2019
C0185;MAGNITECHS;Non renseigné;08/2019
C0186;iWassel;Non renseigné;09/2019
C0187;Farm Trust;Non renseigné;09/2019
C0188;TrustiT;Non renseigné;09/2019
C0189;fixiha.tn;Non renseigné;09/2019
C0190;Société DOM Services;Non renseigné;09/2019
C0191;The Landlord;Non renseigné;09/2019
C0192;BeNeutron;Non renseigné;09/2019
C0193;Epilert;Non renseigné;09/2019
C0194;Black Dune Studio;Non renseigné;09/2019
C0195;Idara Tn;Non renseigné;09/2019
C0196;Teskerti.tn;Non renseigné;09/2019
C0197;GETPAY;Non renseigné;09/2019
C0198;Go Field;Non renseigné;09/2019
C0199;Kamioun;Non renseigné;09/2019
C0200;Tuni'AR;Non renseigné;09/2019
C0201;Athena-IO;Non renseigné;09/2019
C0202;ZOLFA;Non renseigné;09/2019
C0203;GoFields;Non renseigné;09/2019
C0204;Kyto-Prod;Non renseigné;09/2019
C0205;SBA Workforce;Non renseigné;09/2019
C0206;Think-it;Non renseigné;09/2019
C0207;Servis.tn;Non renseigné;09/2019
C0208;HOOLOOS;Non renseigné;09/2019
C0209;Best-Tech;Non renseigné;09/2019
C0210;Digistart;Non renseigné;09/2019
C0211;Fivepoints;Non renseigné;10/2019
C0212;Datavision;Non renseigné;10/2019
C0213;RESRV;Non renseigné;10/2019
C0214;NEPTUNE MOSAIC;Non renseigné;10/2019
C0215;Taderok;Non renseigné;10/2019
C0216;Intigrow;Non renseigné;10/2019
C0217;Artify;Non renseigné;10/2019
C0218;TIRA ROBOTS;Non renseigné;10/2019
C0219;HISTORIAR;Non renseigné;10/2019
C0220;Couscous Connection;Non renseigné;10/2019
C0221;Neoshop;Non renseigné;10/2019
C0222;Swanina;Non renseigné;10/2019
C0223;SMART LOGGER;Non renseigné;10/2019
C0224;ProvenMed;Non renseigné;10/2019
C0225;Lightency;Non renseigné;10/2019
C0226;CURE;Non renseigné;10/2019
C0227;REBOOTKAMP;Non renseigné;10/2019
C0228;Tledger;Non renseigné;10/2019
C0229;BeBouncy;Non renseigné;10/2019
C0230;CreatiView;Non renseigné;10/2019
C0231;Coursesgolf;Non renseigné;10/2019
C0232;Rhintos Games;Non renseigné;10/2019
C0233;WareCom;Non renseigné;10/2019
C0234;Foodealz;Non renseigné;10/2019
C0235;IDWEY;Non renseigné;10/2019
C0236;Humansys;Non renseigné;10/2019
C0237;2ME | Machining & Manufacturing Engineering;Non renseigné;10/2019
C0238;Prodcom;Non renseigné;10/2019
C0239;Plateforme de Tele-Medecine et mSante (KoalX);Non renseigné;10/2019
C0240;Meilleure Vie Etudiants Tunisie;Non renseigné;10/2019
C0241;SPX;Non renseigné;10/2019
C0242;Bambinosit;Non renseigné;10/2019
C0243;Smart-Ways;Non renseigné;10/2019
C0244;One Shot;Non renseigné;10/2019
C0245;Municipalité 4.0;Non renseigné;10/2019
C0246;Al madina;Non renseigné;10/2019
C0247;Orbitech (SeekMake);Non renseigné;11/2019
C0248;NG Technologies;Non renseigné;11/2019
C0249;VAKAY;Non renseigné;11/2019
C0250;EDUC'ART;Non renseigné;11/2019
C0251;AZÄ;Non renseigné;11/2019
C0252;Anavid;Non renseigné;11/2019
C0253;DrillSERV;Non renseigné;11/2019
C0254;SOLIXY;Non renseigné;11/2019
C0255;SAMM TEST & AUTOMATION;Non renseigné;11/2019
C0256;Baity tn Decoriz SARL;Non renseigné;11/2019
C0257;PROSUMERS;Non renseigné;11/2019
C0258;7keema;Non renseigné;11/2019
C0259;Salaire.tn;Non renseigné;11/2019
C0260;VDOC;Non renseigné;11/2019
C0261;Lamma;Non renseigné;11/2019
C0262;INNOFAB;Non renseigné;11/2019
C0263;NovaTEK Solution;Non renseigné;11/2019
C0264;Miral Things;Non renseigné;11/2019
C0265;Shadoc (société Sirat Edition spin off de Sirat);Non renseigné;11/2019
C0266;Exacctly;Non renseigné;11/2019
C0267;Domoticaza;Non renseigné;11/2019
C0268;Supermarché Founa;Non renseigné;11/2019
C0269;B4 PRINT;Non renseigné;11/2019
C0270;BS partage;Non renseigné;11/2019
C0271;Oxygen Design;Non renseigné;11/2019
C0272;OneCom;Non renseigné;11/2019
C0273;Motion Ads;Non renseigné;11/2019
C0274;Kot BJ;Non renseigné;11/2019
C0275;Ifortic;Non renseigné;11/2019
C0276;NO CUT;Non renseigné;11/2019
C0277;eDallel;Non renseigné;11/2019
C0278;School Upgrader;Non renseigné;11/2019
C0279;PENTAPIX;Non renseigné;11/2019
C0280;Fonderz;Non renseigné;11/2019
C0281;HS Gaming;Non renseigné;11/2019
C0282;PROFILTHEQUE;Non renseigné;11/2019
C0283;GO UP STAND UP;Non renseigné;11/2019
C0284;CYNOIA;Non renseigné;12/2019
C0285;Société Jhimi Pour Les Elévateurs Légers;Non renseigné;12/2019
C0286;Grabingo;Non renseigné;12/2019
C0287;Logis Technologies;Non renseigné;12/2019
C0288;K2LIS;Non renseigné;12/2019
C0289;STRIKE MOTOTRS;Non renseigné;12/2019
C0290;KHEER;Non renseigné;12/2019
C0291;Tap4glam;Non renseigné;12/2019
C0292;Ahmini;Non renseigné;12/2019
C0293;Chantier;Non renseigné;12/2019
C0294;Club privilèges / BIGDeal;Non renseigné;12/2019
C0295;Iowaves;Non renseigné;12/2019
C0296;AfiaTech;Non renseigné;12/2019
C0297;MICE;Non renseigné;12/2019
C0298;Fasteas;Non renseigné;12/2019
C0299;New Wave for communication & solutions;Non renseigné;12/2019
C0300;ALMOURAFEK;Non renseigné;12/2019
C0301;Bouita;Non renseigné;12/2019
C0302;Raheeq;Non renseigné;12/2019
C0303;Pepolls;Non renseigné;12/2019
C0304;AUDACITY;Non renseigné;12/2019
C0305;SOCIETE ARDARY PARTNERS TUNISIA;Non renseigné;12/2019
C0306;PROSERVY;Non renseigné;12/2019
C0307;ALFA PRINT;Non renseigné;12/2019
C0308;Tun E-shop;Non renseigné;12/2019
C0309;GPS-Infos;Non renseigné;12/2019
C0310;Dyarna;Non renseigné;12/2019
C0311;OFFBEAT MEDIA;Non renseigné;12/2019
C0312;OXN;Non renseigné;12/2019
C0313;StarTAW;Non renseigné;12/2019
C0314;Advanced Functionalities For Smart Home - Kwiklink Technologies;Non renseigné;12/2019
C0315;Transfacile - Techno GM;Non renseigné;12/2019
C0316;Kamioun - Kriga Technologies;Non renseigné;12/2019
C0317;Optimalogistic;Non renseigné;01/2020
C0318;Next Gen Solution / UnFrauded;Non renseigné;01/2020
C0319;Digital2Value;Non renseigné;01/2020
C0320;Junior Robotics Lab;Non renseigné;01/2020
C0321;STE ESKY PROFESSIONAL SERVICES LIMITED;Non renseigné;01/2020
C0322;Sentinel Data;Non renseigné;01/2020
C0323;DCX;Non renseigné;01/2020
C0324;KALYS;Non renseigné;01/2020
C0325;Paygrant;Non renseigné;01/2020
C0326;AbrarCom Analytics;Non renseigné;01/2020
C0327;Prefabulous;Non renseigné;01/2020
C0328;Societe Tunisian Online Teachers;Non renseigné;01/2020
C0329;SQOIN;Non renseigné;01/2020
C0330;GLOLIX TUNISIA;Non renseigné;01/2020
C0331;La relation client à l'ère du digital;Non renseigné;01/2020
C0332;Support de coupe a couvercle automatique;Non renseigné;01/2020
C0333;IJA SOLUTION;Non renseigné;01/2020
C0334;QUERMES;Non renseigné;01/2020
C0335;Doqtoor;Non renseigné;01/2020
C0336;Sun Tracker;Non renseigné;01/2020
C0337;DaryDar;Non renseigné;01/2020
C0338;Zcare;Non renseigné;01/2020
C0339;Examido;Non renseigné;01/2020
C0340;Consulti;Non renseigné;01/2020
C0341;DRYSEK;Non renseigné;01/2020
C0342;CRATOSUSA;Non renseigné;01/2020
C0343;Baccouche Orthopedic Center;Non renseigné;01/2020
C0344;Zemnistore;Non renseigné;01/2020
C0345;Tunisian Cloud;Non renseigné;01/2020
C0346;SKYTEK;Non renseigné;01/2020
C0347;DSS COMPANY;Non renseigné;01/2020
C0348;AddInn Tunisie;Non renseigné;01/2020
C0349;FUZBUS;Non renseigné;01/2020
C0350;Easy Touch Solutions (ETS);Non renseigné;01/2020
C0351;Chèques Instantanés;Non renseigné;01/2020
C0352;Papelstore;Non renseigné;01/2020
C0353;Carbon2Heat;Non renseigné;01/2020
C0354;Universal Technology of infinite keys;Non renseigné;01/2020
C0355;Katomi;Non renseigné;02/2020
C0356;Société Saghroun.com;Non renseigné;02/2020
C0357;BSmart SARL;Non renseigné;02/2020
C0358;Youth Hub;Non renseigné;02/2020
C0359;WaterSpirit;Non renseigné;02/2020
C0360;RENTAL RIDE;Non renseigné;02/2020
C0361;OXAHOST;Non renseigné;02/2020
C0362;QualiFour;Non renseigné;02/2020
C0363;Edutest;Non renseigné;02/2020
C0364;Xtendplex;Non renseigné;02/2020
C0365;Kyufi;Non renseigné;02/2020
C0366;Sportopia;Non renseigné;02/2020
C0367;Accent;Non renseigné;02/2020
C0368;Allô Réparateur;Non renseigné;02/2020
C0369;Class Quiz;Non renseigné;02/2020
C0370;autoecoleplus;Non renseigné;02/2020
C0371;SECURAS;Non renseigné;02/2020
C0372;Kaco.;Non renseigné;02/2020
C0373;Smart House Tunisia;Non renseigné;02/2020
C0374;Co-Solar;Non renseigné;02/2020
C0375;Tynass;Non renseigné;02/2020
C0376;Rent a tutor;Non renseigné;02/2020
C0377;Quantylix Risk & Data;Non renseigné;02/2020
C0378;Heptatronics;Non renseigné;02/2020
C0379;freeoui;Non renseigné;02/2020
C0380;Eklectic;Non renseigné;02/2020
C0381;Société Tunipages;Non renseigné;02/2020
C0382;FormaClick;Non renseigné;02/2020
C0383;Marhbebik.com;Non renseigné;02/2020
C0384;RASCALTOU !;Non renseigné;02/2020
C0385;Tunisia Biotech;Non renseigné;02/2020
C0386;Coinsence;Non renseigné;02/2020
C0387;Support de coupe à couvercle automatique;Non renseigné;02/2020
C0388;NovaTEK Solutions;Non renseigné;02/2020
C0389;Shadoc;Non renseigné;02/2020
C0390;Gofields (Sportfields);Non renseigné;02/2020
C0391;I POMM;Non renseigné;03/2020
C0392;NATULYN;Non renseigné;03/2020
C0393;She Shares;Non renseigné;03/2020
C0394;Auto-plus;Non renseigné;03/2020
C0395;Makroudh Kairouan à Domicile;Non renseigné;03/2020
C0396;DigiConstat;Non renseigné;03/2020
C0397;Save Your Wardrobe;Non renseigné;03/2020
C0398;Go Online Africa;Non renseigné;03/2020
C0399;3S : Software and Security Solutions;Non renseigné;03/2020
C0400;GATE INDUSTRIELLE;Non renseigné;03/2020
C0401;Rayhane;Non renseigné;03/2020
C0402;Tunisie Co / Resa Privee;Non renseigné;03/2020
C0403;TOLEDO;Non renseigné;03/2020
C0404;CHMISA;Non renseigné;03/2020
C0405;KLAY;Non renseigné;03/2020
C0406;FACTOORYA;Non renseigné;03/2020
C0407;KWIN.;Non renseigné;03/2020
C0408;Finispia;Non renseigné;03/2020
C0409;Travaris;Non renseigné;03/2020
C0410;Barbecha;Non renseigné;03/2020
C0411;Dentic;Non renseigné;03/2020
C0412;Tunisiabiotech;Non renseigné;03/2020
C0413;Welyne;Non renseigné;03/2020
C0414;Univers VR;Non renseigné;03/2020
C0415;ebniecolo;Non renseigné;03/2020
C0416;MY DEV CONSULTING DU CAP BON;Non renseigné;03/2020
C0417;CITIUS;Non renseigné;03/2020
C0418;All o khadmet;Non renseigné;03/2020
C0419;Analyse numérique des donnes (AMCI);Non renseigné;03/2020
C0420;The BoxOffice;Non renseigné;03/2020
C0421;Khadamni;Non renseigné;03/2020
C0422;Soldy;Non renseigné;03/2020
C0423;COSTUN;Non renseigné;03/2020
C0424;Start Smart Studio;Non renseigné;03/2020
C0425;Compass IT;Non renseigné;03/2020
C0426;Campus Numérique des métiers;Non renseigné;03/2020
C0427;Go My Biz;Non renseigné;03/2020
C0428;Kayco.;Non renseigné;03/2020
C0429;Viventis;Non renseigné;04/2020
C0430;Insurise;Non renseigné;04/2020
C0431;LORE AND HEART;Non renseigné;04/2020
C0432;SLAMA DATTES;Non renseigné;04/2020
C0433;Arion;Non renseigné;04/2020
C0434;BipEvents;Non renseigné;04/2020
C0435;Lysi;Non renseigné;04/2020
C0436;wireless services;Non renseigné;04/2020
C0437;Ernest;Non renseigné;04/2020
C0438;Ahkili;Non renseigné;04/2020
C0439;Carwell;Non renseigné;04/2020
C0440;MAZED;Non renseigné;04/2020
C0441;Khalta;Non renseigné;04/2020
C0442;Split;Non renseigné;04/2020
C0443;Food4Future;Non renseigné;04/2020
C0444;RoboCare;Non renseigné;04/2020
C0445;FI THNITI;Non renseigné;04/2020
C0446;Tchou-Tchou Your school bus tracking App;Non renseigné;04/2020
C0447;FlowsMaster;Non renseigné;04/2020
C0448;akarat.tn;Non renseigné;04/2020
C0449;SMEK'S;Non renseigné;04/2020
C0450;Khobzti;Non renseigné;04/2020
C0451;SOFTIFI;Non renseigné;04/2020
C0452;NeuroData;Non renseigné;04/2020
C0453;Ghazela Technology Academy;Non renseigné;04/2020
C0454;FYMI;Non renseigné;04/2020
C0455;Traitement des données structurées;Non renseigné;04/2020
C0456;The BIM Square;Non renseigné;04/2020
C0457;Azedda;Non renseigné;04/2020
C0458;Quicktext;Non renseigné;04/2020
C0459;CheezWall;Non renseigné;04/2020
C0460;Winrents;Non renseigné;04/2020
C0461;Next;Non renseigné;04/2020
C0462;Wondding;Non renseigné;04/2020
C0463;Information anticipative;Non renseigné;04/2020
C0464;Explore Tunisia;Non renseigné;04/2020
C0465;AIDI : Académie Internationale pour le développement et l'innovation;Non renseigné;04/2020
C0466;DRACOSS;Non renseigné;04/2020
C0467;Course Golf;Non renseigné;04/2020
C0468;Symmetryk / No Statik Media;Non renseigné;04/2020
C0469;Digitus Technologies;Non renseigné;05/2020
C0470;STARK;Non renseigné;05/2020
C0471;NATDYES;Non renseigné;05/2020
C0472;Carpet Plus;Non renseigné;05/2020
C0473;Hand & Crafts;Non renseigné;05/2020
C0474;YASSIR;Non renseigné;05/2020
C0475;Wakahaw;Non renseigné;05/2020
C0476;Amiral;Non renseigné;05/2020
C0477;Sprindt;Non renseigné;05/2020
C0478;Global World Transformer;Non renseigné;05/2020
C0479;iSporit;Non renseigné;05/2020
C0480;Evolutik;Non renseigné;05/2020
C0481;El Food Lab;Non renseigné;05/2020
C0482;Fouita;Non renseigné;05/2020
C0483;GrowApp;Non renseigné;05/2020
C0484;We-Settle;Non renseigné;05/2020
C0485;Conception et vente d'un système de télégestion d'énergie électrique;Non renseigné;05/2020
C0486;IOT Medical Technology;Non renseigné;05/2020
C0487;Omniup Tunisie;Non renseigné;05/2020
C0488;LE PORTAIL DES LANGUES;Non renseigné;05/2020
C0489;Société Polyouate;Non renseigné;05/2020
C0490;GARK;Non renseigné;05/2020
C0491;GASPYCH;Non renseigné;05/2020
C0492;EMNA HUSSEIN;Non renseigné;05/2020
C0493;Doctorka;Non renseigné;05/2020
C0494;Renini;Non renseigné;05/2020
C0495;Société Datasphera;Non renseigné;05/2020
C0496;Innov'Edition;Non renseigné;05/2020
C0497;Smek's Invest;Non renseigné;05/2020
C0498;Lamma City App;Non renseigné;05/2020
C0499;Quantilyx R&D;Non renseigné;05/2020
C0500;FBS COMPANY;E-commerce;06/2020
C0501;ADIOM;Agritech;06/2020
C0502;Odacel;IoT;06/2020
C0503;Firnas Engineering;IoT;06/2020
C0504;CLEDISS;Logiciel;06/2020
C0505;Lemarché.tn;Agritech;06/2020
C0506;Société NSIJA;Autre contenu créatif;06/2020
C0507;La Ferme Urbaine;Agritech;06/2020
C0508;Eventizer;Logiciel;06/2020
C0509;Kyteb;EdTech;06/2020
C0510;Pura solutions;Health Tech;06/2020
C0511;StreetCarHub;Autre contenu créatif;06/2020
C0512;Machrou3i Fi Bledi;EdTech;06/2020
C0513;Docodify Technologies;IoT;06/2020
C0514;iMMOTECH;Logiciel;06/2020
C0515;Tela;E-commerce;06/2020
C0516;Web2Advisor;E-commerce;06/2020
C0517;Limaalem;E-commerce;06/2020
C0518;TDR;E-commerce;06/2020
C0519;Plateforme de recouvrement intelligente: recouv.tn;Fintech;06/2020
C0520;Connect Talents;HR;06/2020
C0521;SwalApp;Mobile;06/2020
C0522;Azaward;E-commerce;06/2020
C0523;branper;Big Data;06/2020
C0524;Carthachain;Blockchain & cryptocurrency;06/2020
C0525;ORANGURU TECHDESIGN;E-commerce;06/2020
C0526;M eSANTE PLUS;Health Tech;06/2020
C0527;INERTIA;E-commerce;06/2020
C0528;IJA-SOLUTIONS;Plateforme Sociale;06/2020
C0529;Bouquiniste.tn;E-commerce;07/2020
C0530;Klink;Logiciel;07/2020
C0531;CrocoCoder;EdTech;07/2020
C0532;floraison natural beauty;E-commerce;07/2020
C0533;Kiwi Stock Light;Logiciel;07/2020
C0534;Access Aligner;Health Tech;07/2020
C0535;ROBOGRAF;IoT;07/2020
C0536;فرید حول العالم;Autre contenu créatif;07/2020
C0537;DATASCAI;Big Data;07/2020
C0538;Amonak;E-commerce;07/2020
C0539;IotBlocks;IoT;07/2020
C0540;ell and beyond Tunisie;Logiciel;07/2020
C0541;Meditech;Health Tech;07/2020
C0542;BioAgrilhelpers (BAH);Agritech;07/2020
C0543;Wanawaa;E-commerce;07/2020
C0544;Le Comet;Logiciel;07/2020
C0545;10nar;E-commerce;07/2020
C0546;Home's Aroma;E-commerce;07/2020
C0547;GuestnHouse;E-commerce;07/2020
C0548;ACES;E-commerce;07/2020
C0549;Ecomptable.tn;Logiciel;07/2020
C0550;Home School Tunisia;EdTech;07/2020
C0551;Wiki Academy;EdTech;07/2020
C0552;1wayFM;Autre contenu créatif;07/2020
C0553;Maniaro;E-commerce;07/2020
C0554;Rankstop;Marketing;07/2020
C0555;Oryx Guide;E-commerce;07/2020
C0556;BuildUp;Logiciel;07/2020
C0557;Better Mood;Health Tech;07/2020
C0558;Tastybox;E-commerce;07/2020
C0559;UniBoard;EdTech;07/2020
C0560;Synapse;Logiciel;07/2020
C0561;TIDY;E-commerce;07/2020
C0562;ÖMyCamp;E-commerce;07/2020
C0563;econsulting;Logiciel;07/2020
C0564;Artisup;E-commerce;07/2020
C0565;Expenditure;Fintech;07/2020
C0566;APP4MOB BUSINESS SOLUTIONS;Logiciel;07/2020
C0567;TAMWIL.TN;Fintech;07/2020
C0568;Street Car Hub;Autre contenu créatif;07/2020
C0569;Safozi;E-commerce;07/2020
C0570;Addresti;Mobile;08/2020
C0571;DEDALE SOLUTIONS;Fintech;08/2020
C0572;Etakwin;E-commerce;08/2020
C0573;Autoshop.tn/ETL Technology;E-commerce;08/2020
C0574;DIDA MIND;IoT;08/2020
C0575;GST;Logistique;08/2020
C0576;Improve Software TN ai diagnosis vision;Agritech;08/2020
C0577;GENI;Agritech;08/2020
C0578;HAKIM TECHNOLOGIES;Energie;08/2020
C0579;D-WEE;Health Tech;08/2020
C0580;HOMEJEK;E-commerce;08/2020
C0581;MTCE;Autre contenu créatif;08/2020
C0582;Angel Protector/ AMZi Smart Solutions;AI;08/2020
C0583;Lanterns;Gaming;08/2020
C0584;Analytix;Fintech;08/2020
C0585;M&C;AI;08/2020
C0586;Makerfy;Logiciel;08/2020
C0587;Lead Youth;Développement personnel;08/2020
C0588;Points Cadeaux;Logiciel;08/2020
C0589;mintounes;E-commerce;08/2020
C0590;TAWA;Marketing;08/2020
C0591;Drone filaire;Autre contenu créatif;08/2020
C0592;Full Health;Développement personnel;08/2020
C0593;WeRebase;EdTech;08/2020
C0594;Afia Tech;Health Tech;08/2020
