session_id;session;candidatures;entries;labels;preLabels;conversions;retraits;reportes;newLabels;tauxPct;candidatures_definition
S66;09/2024;34;39;11;9;5;1;0;6;32.35;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S67;10/2024;43;49;15;7;6;3;1;9;34.88;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S68;11/2024;41;43;14;7;2;2;0;12;34.15;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S69;12/2024;40;39;16;4;0;1;0;16;40.0;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S70;01/2025;39;44;18;2;5;2;0;13;46.15;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S71;02/2025;41;45;13;9;4;4;0;9;31.71;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S72;03/2025;21;21;6;5;0;1;0;6;28.57;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S73;04/2025;21;29;13;5;8;7;0;5;61.9;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S74;05/2025;47;50;13;10;3;1;0;10;27.66;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S75;06/2025;36;41;12;8;5;1;0;7;33.33;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S76;07/2025;29;34;9;8;5;6;0;4;31.03;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S77;08/2025;41;50;15;9;9;4;0;6;36.59;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S78;09/2025;25;31;7;10;6;4;0;1;28.0;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S79;10/2025;41;51;17;12;10;3;0;7;41.46;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S80;11/2025;39;47;15;3;8;2;0;7;38.46;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S81;12/2025;41;51;15;6;10;5;0;5;36.59;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S82;01/2026;31;37;9;7;7;5;0;2;29.03;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S83;02/2026;36;39;21;3;3;2;0;18;58.33;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S84;03/2026;41;44;13;7;3;6;0;10;31.71;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S85;04/2026;41;47;12;5;4;5;0;8;29.27;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S86;05/2026;40;42;13;10;5;3;0;8;32.5;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S87;06/2026;40;45;7;9;4;3;0;3;17.5;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
